Id;Cosa vorresti fare dopo il diploma? (max 200 caratteri);Tipo
118;dopo il diploma mi piacerebbe fare medicina ;Scienze Mediche/Sanitarie
119;Universit� (probabilmente ingegneria);Studi Scientifici
120;Ingegneria informatica ;Studi Scientifici
121;Diventare un anacoreta;Altro/Non Specificato
122;Dopo il diploma non so ancora bene cosa voglio fare ma sinceramente voglio continuare gli studi e trovare un lavoro che mi piaccia e di cui saro' soddisfatta.;Altro/Non Specificato
123;Dopo il diploma ho intenzione di proseguire i  miei studi , mi iscrivero' alla facolt� di medicina ;Scienze Mediche/Sanitarie
124;Ingegneria ;Studi Scientifici
125;Se sapessi cosa fare non seguirei questa iniziativa;Altro/Non Specificato
126;vorrei iscrivermi all'Universit� e trovare un lavoro;Altro/Non Specificato
127;Carabiniere;Altro/Non Specificato
128;andare all'Universit� ;Altro/Non Specificato
129;Laurea;Altro/Non Specificato
130;Dopo il diploma vorrei iscrivermi al corso di medicina.;Scienze Mediche/Sanitarie
131;Universit� ;Altro/Non Specificato
132;Universit� di medicina veterinaria;Scienze Mediche/Sanitarie
133;Medicina ;Scienze Mediche/Sanitarie
134;Studiare medicina;Scienze Mediche/Sanitarie
135;Vorrei lavorare in campo scientifico per riuscire ad essere indipendente;Studi Scientifici
136;Carabiniere;Altro/Non Specificato
137;la milionaria;Altro/Non Specificato
138;Laurea;Altro/Non Specificato
139;Mi piacerebbe fare medicina;Scienze Mediche/Sanitarie
140;Dopo il diploma non so ancora bene cosa voglio fare ma sinceramente voglio continuare gli studi e trovare un lavoro che mi piaccia e di cui sar� soddisfatta.;Altro/Non Specificato
141;medicina ;Scienze Mediche/Sanitarie
142;Vorrei frequentare l'Universit� . Molto probabilmente facolt� di ingegneria;Studi Scientifici
143;Universit� ;Altro/Non Specificato
144;Universit� di medicina veterinaria;Scienze Mediche/Sanitarie
145;Medicina ;Scienze Mediche/Sanitarie
146;Vorrei iscrivermi all'Universit� e intraprendere gli studi medici;Scienze Mediche/Sanitarie
147;Vorrei frequentare l'Universit� . Molto probabilmente facolt� di ingegneria;Studi Scientifici
