Phase,H_team,A_team,H_goals,H_OnTarget,H_Corners,H_BallPossession,H_Distance,H_FoulsSuffered,H_Intensity,H_PassAccuracy,H_Diameter,H_Reciprocity,H_MANN,H_Q3HUB,A_goals,A_OnTarget,A_Corners,A_BallPossession,A_Distance,A_FoulsSuffered,A_Intensity,A_PassAccuracy,A_Diameter,A_Reciprocity,A_MANN,A_Q3HUB
G,Club Brugge KV,FC København,0,4,6,0.5,110119,11,11.2,0.85060241,7,0.784313725,16.6984127,0.765321829,2,5,4,0.5,108674,15,12.26666667,0.860045147,9,0.659574468,14.73333333,0.863654362
G,FC Porto,Leicester City FC,5,8,4,0.64,105465,9,13.40540541,0.903114187,6,0.705882353,15.25454545,0.826334534,0,0,1,0.36,108758,7,7.8,0.784232365,5,0.523809524,13.12903226,0.752285125
G,Olympique Lyonnais,Sevilla FC,0,5,8,0.58,113042,12,12.6,0.886148008,6,0.869565217,16.42696629,0.791960339,0,0,3,0.42,110356,10,11.44,0.798941799,4,0.734693878,18.13333333,0.450523319
G,Juventus Football Club,GNK Dinamo Zagreb,2,9,7,0.62,111144,12,13.85365854,0.882089552,10,0.8,17.82727273,0.768132999,0,2,3,0.38,114968,9,11.83333333,0.812169312,8,0.714285714,16.84375,0.693083079
Round of 16 1st leg,Manchester City FC,AS Monaco FC,5,6,5,0.61,106320,13,14.54545455,0.874558304,8,0.764705882,21.62857143,0.701506964,3,6,6,0.39,102029,8,9.952380952,0.811320755,4,0.673913043,14.65909091,0.65018262
Round of 16 1st leg,Real Madrid CF,SSC Napoli,3,5,5,0.54,106550,11,14.26470588,0.909252669,7,0.811320755,19.79775281,0.737023216,1,2,1,0.46,116315,9,17.82758621,0.888146912,7,0.764705882,20.96296296,0.83828017
Round of 16 1st leg,Paris Saint-Germain,FC Barcelona,4,10,2,0.43,113291,10,12.48148148,0.895261845,5,0.755102041,16.52631579,0.824771814,0,1,4,0.57,105115,14,13.80555556,0.905861456,6,0.857142857,18.28571429,0.697792882
Round of 16 1st leg,Sevilla FC,Leicester City FC,2,8,8,0.68,110827,9,13.25641026,0.896103896,6,0.807692308,20.06818182,0.459744058,1,3,1,0.32,106638,5,8.777777778,0.722943723,6,0.382978723,14.92592593,0.479553964
Round of 16 1st leg,SL Benfica,Borussia Dortmund,1,1,3,0.35,110687,9,8.85,0.7578125,5,0.627906977,14.40740741,0.80906682,0,4,10,0.65,110444,12,14.73684211,0.875379939,6,0.72,19.73033708,0.895956289
Round of 16 1st leg,FC Bayern München,Arsenal FC,5,11,9,0.68,109536,10,16.25581395,0.915167095,8,0.867924528,17.70434783,0.747653404,1,5,2,0.32,108086,12,8.45,0.788617886,5,0.604651163,13.52941176,0.704637332
Round of 16 1st leg,FC Porto,Juventus Football Club,0,0,1,0.31,101360,11,7.722222222,0.790243902,6,0.441860465,12.05714286,0.699697894,2,4,8,0.69,112400,10,15.36585366,0.925207756,5,0.75,19.87912088,0.78516085
Round of 16 1st leg,Bayer 04 Leverkusen,Club Atlético de Madrid,2,3,6,0.59,110201,9,12.34375,0.797709924,6,0.698113208,16.7375,0.784891843,4,7,4,0.41,115771,14,9.318181818,0.703821656,4,0.69047619,17.48571429,0.783204071
Round of 16 2nd leg,FC Barcelona,Paris Saint-Germain,6,7,6,0.65,105804,25,13,0.867957746,7,0.734693878,18.58333333,0.842560985,1,3,4,0.35,110427,15,8.578947368,0.75,5,0.608695652,14.9375,0.782671691
Round of 16 2nd leg,Leicester City FC,Sevilla FC,2,4,2,0.32,104426,10,7.647058824,0.714285714,4,0.431818182,12.5,0.687571994,0,5,10,0.68,106222,10,9.342857143,0.85619469,5,0.822222222,21.44,0.620709778
Round of 16 2nd leg,AS Monaco FC,Manchester City FC,3,4,3,0.41,106895,13,10.43478261,0.773162939,5,0.739130435,14.97777778,0.853673149,1,3,6,0.59,110726,12,13.75757576,0.850187266,6,0.788461538,18.23809524,0.748457584
Round of 16 2nd leg,SSC Napoli,Real Madrid CF,1,4,9,0.51,115517,7,14.46875,0.862778731,7,0.775510204,17.73255814,0.774668349,3,5,4,0.49,109597,17,12.32258065,0.832653061,6,0.76,15.24137931,0.737247888
Round of 16 2nd leg,Juventus Football Club,FC Porto,1,3,4,0.62,109464,10,13.925,0.903790087,7,0.897959184,19.42307692,0.774827753,0,2,1,0.38,103004,13,10.33333333,0.831360947,5,0.6875,15.05555556,0.836441756
Round of 16 2nd leg,Club Atlético de Madrid,Bayer 04 Leverkusen,0,4,7,0.45,113207,8,10.51851852,0.788265306,6,0.765957447,16.80769231,0.706645364,0,7,4,0.55,113970,6,12.82352941,0.847744361,13,0.7,15.02,0.732172568
Round of 16 2nd leg,Borussia Dortmund,SL Benfica,4,6,5,0.54,111763,17,13.66666667,0.874468085,8,0.666666667,19.6969697,0.797082496,0,2,5,0.46,106998,13,10.76,0.779291553,4,0.708333333,15.41860465,0.841579942
Round of 16 2nd leg,Arsenal FC,FC Bayern München,1,3,5,0.43,105205,9,12.16666667,0.835106383,4,0.716981132,17.72727273,0.794350576,5,7,8,0.57,110346,13,14.34375,0.896869245,7,0.773584906,18.57692308,0.836735137
Quarterfinals 1st leg,Club Atlético de Madrid,Leicester City FC,1,4,8,0.64,109870,16,12.61538462,0.854337152,6,0.844444444,18.63529412,0.55588419,0,0,1,0.36,103051,10,8.80952381,0.730909091,7,0.534883721,16.67741935,0.796857916
Quarterfinals 1st leg,Borussia Dortmund,AS Monaco FC,2,4,7,0.64,108939,7,11.72972973,0.845217391,6,0.729166667,15.58139535,0.749656923,3,2,1,0.36,107792,8,8.095238095,0.685606061,3,0.644444444,17.2173913,0.445156512
Quarterfinals 1st leg,FC Bayern München,Real Madrid CF,1,3,8,0.49,108683,6,13.90625,0.889534884,6,0.836734694,19.24390244,0.764756026,2,12,4,0.51,108961,8,14.09090909,0.909255898,5,0.769230769,16.78787879,0.694391051
Quarterfinals 1st leg,Juventus Football Club,FC Barcelona,3,8,5,0.34,108761,16,11.36842105,0.822878229,4,0.66,15.73529412,0.81221082,0,3,8,0.66,99672,20,13.54054054,0.913644214,5,0.843137255,18.48958333,0.857872785
Quarterfinals 2nd leg,Real Madrid CF,FC Bayern München,4,5,1,0.53,32381,5,11.62162162,0.848695652,7,0.769230769,18.65,0.76639895,2,0,3,0.47,28849,1,12.53658537,0.867601246,9,0.722222222,16.09473684,0.758346728
Quarterfinals 2nd leg,FC Barcelona,Juventus Football Club,0,1,13,0.61,109717,18,12.56756757,0.846560847,4,0.807692308,16.19191919,0.866110651,0,4,4,0.39,112873,10,10.65217391,0.768518519,5,0.62,15.10869565,0.566702154
Quarterfinals 2nd leg,Leicester City FC,Club Atlético de Madrid,1,4,7,0.51,110917,6,10.38709677,0.802660754,7,0.704545455,15.46774194,0.730993113,1,3,1,0.49,116254,9,9.379310345,0.765789474,5,0.727272727,18.14,0.669567201
Quarterfinals 2nd leg,AS Monaco FC,Borussia Dortmund,3,9,5,0.37,112003,7,8.409090909,0.733082707,5,0.595744681,15.6,0.674839068,1,7,3,0.63,112808,15,10.73684211,0.869488536,6,0.717391304,17.4,0.649399383
Semifinals 1st leg,AS Monaco FC,Juventus Football Club,0,6,7,0.52,104163,11,11.03448276,0.820754717,5,0.8,16.734375,0.864481451,2,5,3,0.48,108997,9,12.92592593,0.802690583,4,0.784313725,16.22535211,0.798468474
Semifinals 1st leg,Real Madrid CF,Club Atlético de Madrid,3,8,9,0.61,102883,15,14.72222222,0.918006431,7,0.784313725,17.96938776,0.698916739,0,1,3,0.39,110534,10,13.52173913,0.853164557,5,0.653061224,26.1,0.743139615
Semifinals 2nd leg,Club Atlético de Madrid,Real Madrid CF,2,7,7,0.4,113138,6,8.5,0.72260274,6,0.523809524,19.25,0.507018829,1,6,8,0.6,103364,23,14.9375,0.873015873,9,0.830188679,20.15853659,0.671390203
Semifinals 2nd leg,Juventus Football Club,AS Monaco FC,2,6,6,0.47,104684,20,10.79166667,0.849858357,4,0.76744186,14.14285714,0.807900882,1,2,8,0.53,100142,11,10.07142857,0.864640884,5,0.666666667,17.02631579,0.539669378
Final,Juventus Football Club,Real Madrid CF,1,4,1,0.44,107542,16,12.2,0.849740933,4,0.730769231,16.42857143,0.767685405,4,5,1,0.56,103912,22,15.22580645,0.909774436,7,0.78,16.29411765,0.806246531
