rip_geog,ateco2007,forma_giu,anno,unit_loc,gruppo,PER_tot,PER_dir,PER_qua,PER_imp,PER_ope,DIP_dic13,PER_indet,PER_deter,PER_appre,PER_chiam,DIP_TemPar_tot,DIP_TemPar_indet,DIP_TemPar_term,ORE14,FAT14
1,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,13,1960,18,2,1540,77,185,929,349,1519,1537,3,0,0,45,45,0,23369,515588695
1,"Commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulico",13,2007,53,2,1530,10,58,1458,4,1795,1425,101,4,0,644,576,68,239451103,272894902
4,Attività dei call center,13,2001,3,3,1520,0,2,1258,260,975,1271,7,242,0,1111,1105,6,1467944,37653840
1,Commercio al dettaglio di giochi e giocattoli (inclusi quelli elettronici),13,2001,401,2,1505,7,19,1446,33,2018,1324,181,0,0,952,782,170,2065252,341066696
1,Confezione in serie di abbigliamento esterno,13,1985,35,2,1501,59,111,621,710,1393,1388,92,21,0,88,76,12,2327635,505502189
1,Attività delle agenzie di fornitura di lavoro temporaneo (interinale),13,1992,20,3,1485,1,6,740,738,1750,479,974,32,0,525,160,365,784156,51006676
2,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti,13,1976,4,2,1468,32,59,449,928,1482,1459,9,0,0,26,26,0,2250000,480000000
3,Fabbricazione di medicinali e preparati farmaceutici,13,1948,4,1,1460,62,259,760,379,1378,1353,107,0,0,33,33,0,2193879,485327624
4,Attività delle agenzie di fornitura di lavoro temporaneo (interinale),13,2005,4,3,1433,0,1,282,1150,221,137,1296,0,0,219,4,215,1307946,23244297
1,Fabbricazione di altre apparecchiature elettriche,13,1995,12,2,1428,59,319,1006,44,1471,1421,7,0,0,30,30,0,2513476,691894974
1,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori,13,1985,8,2,1425,35,78,337,975,1462,1417,7,1,0,306,306,0,14219,338813120
1,"Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe",13,1988,1,1,1421,17,23,302,1079,1383,1322,99,0,0,0,0,0,2356352,1644735952
2,Installazione di macchine ed apparecchiature industriali,13,1970,20,3,1420,8,16,445,951,1230,1300,120,0,0,0,0,0,1906000,173809053
2,Commercio all'ingrosso di abbigliamento e accessori,13,1981,91,1,1416,3,19,391,1003,1031,476,471,320,149,210,155,55,2046834,482164925
2,Ipermercati,13,1972,0,3,1359,1,2,281,1075,1312,1314,45,0,0,401,375,26,198922,511450724
3,Fabbricazione di altre macchine utensili (incluse parti e accessori),13,1970,8,1,1353,35,57,734,527,1302,1306,47,0,0,32,32,0,2272000,282520578
1,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori,13,1950,5,2,1351,22,64,294,971,1170,1289,50,12,0,44,44,0,2295819,382069464
1,Altri servizi di supporto alle imprese nca,13,1998,1,3,1349,0,2,1347,0,54,32,1,0,1316,2,2,0,276691,13262776
3,Fabbricazione di medicinali e preparati farmaceutici,13,2012,1,2,1344,94,428,548,274,1168,1160,184,0,0,57,49,8,1708495,887626904
1,Altre attività creditizie,13,1951,164,1,1296,17,305,974,0,1236,1229,15,52,0,15,15,0,1898247,802687314
2,Trattamento igienico del latte,13,1977,6,1,1282,42,209,277,754,1274,1267,15,0,0,17,17,0,2002754,892153000
3,Supermercati,13,1994,0,1,1278,0,4,128,1146,1112,1058,187,33,0,236,139,97,1824370,630636
1,Fabbricazione di coloranti e pigmenti,13,1946,8,2,1277,86,245,613,333,1070,1226,51,0,0,40,39,1,1679900,550806938
2,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobi",13,1956,25,1,1264,32,57,379,796,1298,1221,43,0,0,27,27,0,1777429,653936000
2,Produzione di prodotti a base di carne (inclusa la carne di volatili),13,2000,10,3,1259,27,46,217,969,1231,1217,42,0,0,41,41,0,2417280,554467000
1,Pulizia generale (non specializzata) di edifici,13,1978,170,3,1243,1,3,17,1222,966,1185,52,6,0,1064,1019,45,602985,21214522
3,Servizi di progettazione di ingegneria integrata,13,1995,1,2,1239,169,441,629,0,1267,1182,35,22,0,40,39,1,2090912,1386162607
3,Altra stampa,13,1997,23,1,1223,24,303,896,0,1100,1207,16,0,0,42,42,0,1919907,209015019
2,Fabbricazione di trattori agricoli,13,1996,5,1,1221,14,33,287,887,1248,1211,3,7,0,14,13,1,2344320,431695360
1,Spedizionieri e agenzie di operazioni doganali,13,1907,32,2,1209,31,118,994,66,1246,1162,47,0,0,69,69,0,2052125,666048418
2,Produzione di software non connesso all'edizione,13,2005,3,1,1208,10,48,1142,8,997,1061,132,15,0,633,603,30,1050984,51905253
1,Spedizionieri e agenzie di operazioni doganali,13,1963,40,2,1200,50,109,1038,3,1166,1121,41,38,0,33,33,0,1824950,573432837
2,Attività delle lavanderie industriali,13,1985,22,1,1192,6,18,122,1046,1196,1175,17,0,0,467,454,13,1647408,144793851
2,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacco",13,1972,50,1,1189,0,0,78,1111,1189,1030,159,0,0,218,218,0,1810602,359066654
3,Fabbricazione di elettrodomestici,13,1970,15,1,1185,23,55,307,800,1375,1165,2,18,0,29,29,0,1688761,292625000
4,Confezione in serie di abbigliamento esterno,13,2010,6,2,1181,3,11,166,1001,1183,1179,1,1,0,640,640,0,1511976,119299948
1,Attività delle società di revisione e certificazione di bilanci,13,1945,25,1,1167,86,95,632,354,1299,906,8,253,0,26,26,0,2222868,190015429
4,Pulizia generale (non specializzata) di edifici,13,1984,34,3,1159,0,4,19,1136,1272,1142,16,1,0,1082,1066,16,817393,23135000
1,Fabbricazione di medicinali e preparati farmaceutici,13,1927,2,2,1153,58,331,604,160,1140,1118,26,9,0,36,36,0,1835054,896139541
1,Altre attività connesse alle telecomunicazioni,13,1921,4,1,1139,45,290,801,3,1456,1134,5,0,0,11,11,0,1536615,269765558
2,Trasporto di merci su strada,13,1949,72,1,1132,17,125,773,217,1008,1054,77,1,0,48,41,7,2381835,397373582
1,Ricerche di mercato e sondaggi di opinione,13,2012,0,3,1126,1,4,155,966,965,757,123,5,241,175,104,71,1218256,29147949
2,Pulizia generale (non specializzata) di edifici,13,1987,1,3,1113,0,5,11,1097,1103,1095,18,0,0,1113,1095,18,700000,15000
4,Attività delle agenzie di fornitura di lavoro temporaneo (interinale),13,2005,3,3,1113,0,2,36,1075,993,10,1103,0,0,215,1,214,1562560,25140162
3,"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati",13,1959,6,1,1113,19,19,152,923,1101,997,116,0,0,164,164,0,1555556,308858724
3,Fabbricazione di medicinali e preparati farmaceutici,13,1959,4,2,1094,68,257,566,203,1101,1027,67,0,0,4,4,0,1688577,761597920
4,Supermercati,13,1976,51,3,1058,1,12,106,939,989,920,30,108,0,218,214,4,1708840,291730241
2,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia",13,1977,1,1,1054,21,32,346,655,1050,1010,43,1,0,101,101,0,1740737,574590089
1,Spedizionieri e agenzie di operazioni doganali,13,1989,17,2,1048,0,100,945,3,1032,1007,41,0,0,419,378,41,1341993,596693955
2,Fabbricazione di caldaie per riscaldamento,13,1988,3,1,1029,14,8,225,782,1097,1028,0,1,0,33,33,0,1313463,182116076
1,Attività degli studi di ingegneria,13,1955,18,3,1028,31,69,563,365,711,1028,0,0,0,37,37,0,175000,246525506
2,Commercio al dettaglio di materiale per ottica e fotografia,13,1999,207,2,1027,6,26,995,0,964,934,93,0,0,304,246,58,3421711,117644494
2,"Gestione di strade, ponti, gallerie",13,1959,23,1,1025,6,37,716,266,964,914,111,0,0,161,111,50,1771200,350000000
3,Raccolta di rifiuti solidi non pericolosi,13,1997,0,3,1020,6,12,234,768,1014,937,83,0,0,8,8,0,1587631,135924505
1,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,13,1970,14,1,1019,31,110,543,335,1036,1008,11,0,0,66,66,0,1561379,267530000
1,Edizione di riviste e periodici,13,1990,16,2,1014,51,129,829,5,1060,1004,6,4,0,129,128,1,1548708,213505
2,Altre strutture di assistenza sociale residenziale,13,1978,45,3,1010,0,0,103,907,627,754,40,216,0,240,225,15,800000,54000000
2,Pulizia generale (non specializzata) di edifici,13,1992,0,3,1000,0,0,6,994,740,800,200,0,0,850,680,170,720000,15987300
1,"Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe",13,1994,18,3,1000,12,26,241,721,1000,940,60,0,0,15,15,0,2000000,467483888
1,Raccolta di rifiuti solidi non pericolosi,13,1983,34,1,993,3,4,89,897,943,961,24,8,0,15,15,0,1735792,113401446
2,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,1991,119,1,991,10,312,662,7,1017,980,6,5,0,161,161,0,1492946,200447000
